127.0.0.1 - - [04/Jun/2017:21:44:56 -0400] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/ HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/css/carousel.css;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/css/bootstrap.min.css;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/css/main.css;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/js/bootstrap.min.js;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/images/back2.jpg;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 204624
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/images/back1.jpg;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 237264
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/images/back3.jpg;jsessionid=730E7D711726E32D1B45952676CF8009 HTTP/1.1" 200 236480
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:44:58 -0400] "GET /eStore/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/ HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/css/bootstrap.min.css;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/css/carousel.css;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 2741
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/css/main.css;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/css/main.css;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/js/bootstrap.min.js;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/images/back3.jpg;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 236480
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/images/back1.jpg;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 237264
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/images/back2.jpg;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 204624
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /eStore/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:36 -0400] "GET /favicon.ico HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/product/productList;jsessionid=27591061FEB3272DEE7B6C7CA743504A HTTP/1.1" 200 5308
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/resources/css/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2017:21:45:40 -0400] "GET /eStore/resources/images/9.png HTTP/1.1" 404 1055
